"marker"	"OBO.Ontology.ID"	"species"	"times"	"cell_ID"	"gene_description"	"original_celltype.MSigDB"	"original_celltype.PanglaoDB"	"original_celltype.CellMarker"	"original_celltype.GeneMarkeR"	"original_celltype.Azimuth"	"original_celltype.ASCTB"
"MYADM"	"neutrophil"	"Human"	1	"CL:0000775"	"myeloid associated differentiation marker "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"MYB"	"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell"	"Human"	1	"CL:0000935"	"MYB proto-oncogene, transcription factor "	NA	NA	NA	NA	"Double-negative T"	NA
"MYB"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"MYB proto-oncogene, transcription factor "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"MYB"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"MYB proto-oncogene, transcription factor "	"EARLY ERYTHROBLAST"	NA	NA	NA	NA	NA
"MYB"	"hematopoietic precursor cell"	"Human"	1	"CL:0008001"	"MYB proto-oncogene, transcription factor "	NA	NA	NA	NA	"Hematopoietic stem and progenitor cell"	NA
"MYBL1"	"natural killer cell"	"Human"	1	"CL:0000623"	"MYB proto-oncogene like 1 "	"NK CELLS"	NA	NA	NA	NA	NA
"MYBL2"	"dendritic cell"	"Human"	1	"CL:0000451"	"MYB proto-oncogene like 2 "	"DENDRITIC CELL"	NA	NA	NA	NA	NA
"MYBL2"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"MYB proto-oncogene like 2 "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"MYC"	"erythroid lineage cell"	"Human"	2	"CL:0000764"	"MYC proto-oncogene, bHLH transcription factor "	"EARLY ERYTHROBLAST"	NA	NA	NA	NA	"erythroid"
"MYCN"	"hematopoietic stem cell"	"Human"	1	"CL:0000037"	"MYCN proto-oncogene, bHLH transcription factor "	NA	"Hematopoietic stem cells"	NA	NA	NA	NA
"MYCNOS"	"hematopoietic lineage restricted progenitor cell"	"Human"	1	"CL:0002031"	"MYCN opposite strand "	"CD34 POS HSC"	NA	NA	NA	NA	NA
